,stock,ticker,price,change,change_percentage,group,capitalization
121,Καπνοβιομηχανία ΚΑΡΕΛΙΑ Α.Ε. (ΚΑΡΕΛ),ΚΑΡΕΛ,284.0000,2.0000,0.71,Industry,783840000.0
123,Ο Κέκροψ Α.Ε Ξενοδ.Τουριστ. Οικιστ. Λα (ΚΕΚΡ),ΚΕΚΡ,1.8920,-0.0060,-0.32,real_estate,37469422.0
127,Ι. ΚΛΟΥΚΙΝΑΣ - Ι. ΛΑΠΠΑΣ ΤΕΧΝ.& ΕΜ. Α.Ε. (ΚΛΜ),ΚΛΜ,0.6980,-0.0020,-0.29,Construction,28073014.0
132,ΑΦΟΙ Χ. ΚΟΡΔΕΛΛΟΥ Α.Ε.Β.Ε. (ΚΑ) (ΚΟΡΔΕ),ΚΟΡΔΕ,0.4940,0.0030,0.61,Metalurgy and plastic,10484824.0
134,QUALITY AND RELIABILITY Α.Β.Ε.Ε.  (ΚΟΥΑΛ),ΚΟΥΑΛ,0.4600,-0.0030,-0.65,Technology,12578755.0
135,QUEST ΣΥΜΜΕΤΟΧΩΝ Α.Ε. (ΚΟΥΕΣ),ΚΟΥΕΣ,19.6000,0.0200,0.1,Technology,700521562.0
140,ΚΡΙ-ΚΡΙ ΒΙΟΜ/ΝΙΑ ΓΑΛΑΚΤΟΣ Α.Β.Ε.Ε. (ΚΡΙ),ΚΡΙ,8.5000,0.0800,0.95,Food and Drinks,281053656.0
141,ΚΤΗΜΑ ΚΩΣΤΑΣ ΛΑΖΑΡΙΔΗΣ Α.Ε. (ΚΤΗΛΑ),ΚΤΗΛΑ,1.8300,0.0300,1.67,Food and Drinks,32971974.0
143,ΚΥΡΙΑΚΟΥΛΗΣ Μ.Κ.Ν. Α.Ε. (ΚΥΡΙΟ),ΚΥΡΙΟ,1.5000,0.1250,9.09,Travel and Tourism,11392740.0
145,LAVIPHARM Α.Ε. (ΛΑΒΙ),ΛΑΒΙ,0.7200,0.0200,2.86,Other,36778342.0
146,LAMDA -Α.E.ΣΥΜ.&ΑΞΙΟΠ. ΑΚΙΝΗΤΩΝ (ΛΑΜΔΑ),ΛΑΜΔΑ,7.4000,0.1250,1.72,real_estate,1307851691.0
